time,ip_source,ip_dest,protocol
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:35,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:35,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:36,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:36,81.192.15.173:443,192.168.1.147:62464,TCP
